17, 1-0, True, 35, 296, 975, 1179, 973, 352, 352, 17, 26, 5.6
17, 1-0, False, 34, 298, 821, 4663, 974, 353, 353, 17, 26, 12.0
17, 1-1, True, 62, 325, 783, 752, 872, 587, 587, 17, 25, 7.2
17, 1-1, False, 62, 325, 927, 3514, 863, 587, 587, 17, 25, 15.0
17, 1-2, True, 64, 142, 339, 410, 383, 251, 251, 17, 23, 5.1
17, 1-2, False, 64, 142, 409, 3102, 383, 251, 251, 17, 23, 10.7
17, 1-3, True, 76, 134, 707, 751, 878, 560, 560, 17, 25, 4.8
17, 1-3, False, 76, 134, 731, 6951, 735, 560, 560, 17, 25, 10.2
17, 1-4, True, 154, 123, 868, 1173, 946, 643, 643, 17, 21, 5.1
17, 1-4, False, 154, 123, 1010, 5813, 770, 643, 643, 17, 21, 11.0
17, 1-5, True, 72, 200, 1011, 982, 1056, 529, 529, 17, 22, 5.6
17, 1-5, False, 72, 200, 1210, 3643, 1040, 529, 529, 17, 22, 11.9
17, 1-6, True, 68, 300, 1439, 1413, 1448, 777, 777, 17, 22, 7.2
17, 1-6, False, 68, 300, 1473, 4801, 1408, 777, 777, 17, 22, 15.0
17, 1-7, True, 77, 317, 1195, 1341, 1391, 671, 671, 17, 25, 8.5
17, 1-7, False, 77, 317, 1925, 8282, 1150, 671, 671, 17, 25, 17.9
17, 1-8, True, 45, 234, 882, 1183, 832, 321, 321, 17, 21, 5.7
17, 1-8, False, 45, 234, 462, 1842, 815, 321, 321, 17, 21, 12.0
17, 1-9, True, 67, 196, 912, 1339, 926, 422, 422, 17, 24, 6.4
17, 1-9, False, 67, 196, 853, 2105, 808, 422, 422, 17, 24, 13.0
17, 1-10, True, 33, 110, 438, 503, 417, 162, 162, 17, 24, 6.0
17, 1-10, False, 33, 110, 823, 7081, 599, 162, 162, 17, 24, 12.4
17, 1-11, True, 127, 242, 1456, 1770, 1460, 897, 897, 17, 21, 6.5
17, 1-11, False, 127, 242, 1302, 4521, 1378, 897, 897, 17, 21, 13.5
17, 1-12, True, 85, 229, 694, 1015, 712, 507, 507, 17, 22, 6.1
17, 1-12, False, 85, 229, 677, 2470, 712, 507, 507, 17, 22, 12.6
17, 1-13, True, 150, 95, 883, 901, 683, 547, 547, 17, 19, 4.2
17, 1-13, False, 150, 95, 852, 5261, 632, 547, 547, 17, 19, 9.0
17, 1-14, True, 108, 168, 808, 1124, 964, 502, 502, 17, 21, 5.4
17, 1-14, False, 108, 168, 1255, 3751, 896, 502, 502, 17, 21, 11.4
17, 1-15, True, 70, 323, 1348, 1353, 1917, 878, 878, 17, 20, 7.3
17, 1-15, False, 70, 323, 2307, 6138, 1884, 878, 878, 17, 20, 15.6
